mfc1,mfc2,mfc3,mfc4,x1,y1,split
0.0320548824965954,0.0209191348403692,0.0206813868135214,0.0436230078339577,0.2166,0.44625000000000004,train
0.0715195462107658,0.0938344895839691,0.445479989051819,0.105263344943523,0.862025,0.12860000000000005,train
0.104890428483486,0.416212916374207,0.10293510556221,0.0876175165176392,0.85185,0.844575,train
0.056010790169239,0.0948445647954941,0.0621768273413181,0.0551116392016411,0.723725,0.6392249999999999,train
0.0589064620435238,0.0325497053563595,0.0335198640823364,0.0825698971748352,0.01145,0.43755,train
0.0825002565979958,0.0446063727140427,0.0447477027773857,0.0963475704193115,0.108375,0.478275,train
0.0868005231022835,0.441549509763718,0.101000443100929,0.0791247561573982,0.988875,0.808675,train
0.0773831158876419,0.10752085596323,0.414274245500565,0.109387218952179,0.893825,0.18572500000000003,train
0.0814566314220428,0.0899477601051331,0.048853300511837,0.0574615150690079,0.532075,0.82835,train
0.13950814306736,0.12282794713974,0.18326011300087,0.285561203956604,0.382475,0.214175,train
0.125490978360176,0.0960496738553047,0.116373226046562,0.203235194087029,0.311425,0.34785,train
0.0469137504696846,0.0419703386723995,0.0695808380842209,0.118473671376705,0.38215,0.08409999999999995,train
0.0101383291184902,0.0118474401533603,0.0731904432177544,0.0160224512219429,0.96525,0.10862499999999997,train
0.0301079098135233,0.0422385819256306,0.019079253077507,0.0247360859066248,0.602575,0.9399,train
0.0222130492329597,0.0167901609092951,0.0192173570394516,0.0609037727117538,0.189825,0.23255000000000003,train
0.11716616153717,0.309486299753189,0.168858617544174,0.114643417298793,0.99755,0.648475,train
0.0356847085058689,0.159197971224785,0.0395342037081718,0.0369834937155247,0.95145,0.80775,train
0.0196130722761154,0.0186003223061562,0.0285622905939817,0.0391755551099777,0.49925,0.21150000000000002,train
0.0224840175360441,0.0287718307226896,0.191870599985123,0.0357682779431343,0.9505,0.124525,train
0.0723726600408554,0.0620393417775631,0.0608136579394341,0.0817865431308746,0.42885,0.5050250000000001,train
0.485330045223236,0.0765608549118042,0.0602345541119576,0.0988464802503586,0.012225,0.847075,train
0.0502713471651077,0.0472099930047989,0.0772877037525177,0.111756265163421,0.4279,0.15049999999999997,train
0.0250265877693892,0.0265832655131817,0.0330055691301823,0.0398123562335968,0.550225,0.373,train
0.0226967614144087,0.0539966337382793,0.0186132472008467,0.025005042552948,0.75155,0.870125,train
0.0522171221673489,0.0543187968432903,0.0857810750603676,0.0866938382387161,0.54005,0.26915,train
0.083760142326355,0.0375395677983761,0.0263016857206821,0.0406619906425476,0.274325,0.8552500000000001,train
0.023808691650629,0.0406174398958683,0.0277073942124844,0.0288722310215235,0.75585,0.6278,train
0.0849923267960548,0.0098944287747144,0.0,0.0145095763728022,0.077025,0.992575,train
0.0113857155665755,0.0144887417554855,0.0744078531861305,0.0202488694339991,0.996475,0.13302499999999995,train
0.169248461723328,0.128271579742432,0.152770817279816,0.267730176448822,0.290825,0.3578,train
0.0645976290106773,0.0401038303971291,0.0360019318759441,0.0570618063211441,0.298425,0.5925,train
0.0187315810471773,0.0199642796069384,0.0464489609003067,0.0344330109655857,0.653175,0.10727500000000001,train
0.0289518125355244,0.0314273647964001,0.0251917447894812,0.0324386060237885,0.550725,0.5844750000000001,train
0.0089057460427284,0.0102015379816293,0.243216872215271,0.0162283629179001,0.981625,0.034074999999999966,train
0.0259886253625154,0.0361015498638153,0.0253288857638836,0.0309717394411564,0.637925,0.6462749999999999,train
0.518817842006683,0.0728288888931274,0.0519751124083996,0.0784469991922379,0.126525,0.977325,train
0.0320002399384975,0.0270539149641991,0.0210459735244513,0.0328838601708412,0.434875,0.65045,train
0.0243793018162251,0.0170254837721586,0.0182564463466406,0.0491626113653183,0.175625,0.349475,train
0.0215014964342117,0.017426535487175,0.0216935146600008,0.0529646500945091,0.2834,0.24727500000000002,train
0.0534052141010761,0.12473177909851,0.0540807172656059,0.0497680231928825,0.77765,0.7503,train
0.0272837746888399,0.0267583131790161,0.0372834652662277,0.0387436561286449,0.549525,0.338225,train
0.0940168648958206,0.136412516236305,0.385660320520401,0.122043147683143,0.9308,0.23717500000000002,train
0.0389088913798332,0.0543382912874222,0.150799468159676,0.0542767681181431,0.9246,0.22847499999999998,train
0.081958957016468,0.0638343095779419,0.0819903314113617,0.50024688243866,0.13005,0.08107500000000001,train
0.0679011344909668,0.080059289932251,0.0742484256625175,0.0741123259067535,0.583625,0.50925,train
